5329,41,40,4,6,4
4950,18,13,4,6,4
4882,24,13,4,6,4
4732,38,29,4,6,4
4806,23,30,4,6,4
4973,21,14,4,6,4
4825,37,18,4,6,4
4755,22,13,4,6,4
4748,23,13,4,6,4
4773,31,16,4,6,4
3675,38,12,4,6,4
3582,47,13,4,6,4
3468,24,13,4,6,4
3484,37,14,4,6,4
3578,82,17,4,6,4
3544,20,14,4,6,4
3915,19,21,4,6,4
3410,18,14,4,6,4
3886,19,14,4,6,4
3631,21,13,4,6,4
12162,27,13,5,8,5
12398,39,13,5,8,5
11769,19,15,5,8,5
11719,21,14,5,8,5
12211,23,14,5,8,5
12184,20,14,5,8,5
11722,21,14,5,8,5
12481,28,14,5,8,5
12034,21,15,5,8,5
11392,41,14,5,8,5
3769,40,14,4,6,4
3960,19,28,4,6,4
3524,32,11,4,6,4
4210,17,11,4,6,4
3519,18,11,4,6,4
4072,16,15,4,6,4
3668,19,13,4,6,4
3555,18,13,4,6,4
4050,20,11,4,6,4
3752,19,13,4,6,4
12140,18,15,5,6,5
12490,22,13,5,6,5
11875,22,13,5,6,5
12320,21,13,5,6,5
12282,24,13,5,6,5
13534,20,14,5,6,5
11803,41,21,5,6,5
12031,40,14,5,6,5
11748,22,14,5,6,5
10957,20,14,5,6,5
4122,19,14,4,6,4
3762,38,14,4,6,4
3653,17,15,4,6,4
4156,18,15,4,6,4
3667,20,14,4,6,4
4343,19,13,4,6,4
5316,36,29,4,6,4
4521,21,21,4,6,4
3950,55,34,4,6,4
5622,21,27,4,6,4
13549,19,14,5,8,5
12191,57,29,5,8,5
11637,22,37,5,8,5
12429,24,14,5,8,5
12184,22,14,5,8,5
11692,31,22,5,8,5
12822,23,14,5,8,5
12327,23,14,5,8,5
11726,23,15,5,8,5
11627,21,14,5,8,5
3644,19,14,4,6,4
3222,17,14,4,6,4
3894,16,13,4,6,4
3441,20,12,4,6,4
3232,19,14,4,6,4
3711,17,14,4,6,4
3341,21,12,4,6,4
3864,20,14,4,6,4
3266,23,13,4,6,4
3675,19,15,4,6,4
3328,20,12,4,8,4
3323,17,15,4,8,4
3748,20,12,4,8,4
3290,16,16,4,8,4
3782,20,12,4,8,4
3315,18,15,4,8,4
4021,15,12,4,8,4
3300,16,16,4,8,4
3343,19,14,4,8,4
3757,21,14,4,8,4
4306,19,12,5,6,4
4708,19,14,5,6,4
4343,22,14,5,6,4
4963,20,15,5,6,4
4431,22,14,5,6,4
4351,20,13,5,6,4
4725,20,13,5,6,4
4539,22,13,5,6,4
4733,19,14,5,6,4
4486,24,14,5,6,4
